Job Title,Price,URL
Automation,$500,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/automation-4416217
Need an automation for content creation using Addy AI,$88,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-integration/need-an-automation-for-content-creation-using-addy-ai-4416825
GoHighLevel Funnel & AI Automation Expert,$41/hr,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/gohighlevel-funnel-ai-automation-expert-4416599
"E2E Automation Testing & RPA Solutions Selenium, Playwright",$28/hr,https://www.peopleperhour.com/freelance-jobs/technology-programming/software-testing/e2e-automation-testing-rpa-solutions-selenium-playwright-4416630
Complete Outlook Email → Tenant Form Automation,$272,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-agent-development/complete-outlook-email-tenant-form-automation-4416743
Automate Search Results Input into Spreadsheet,$28,https://www.peopleperhour.com/freelance-jobs/technology-programming/databases/automate-search-results-input-into-spreadsheet-4412624
Automated Bulk Video Editor (v1.0),$760,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/automated-bulk-video-editor-v1-0-4414518
AI Service Specialist for Data Analysis and Automation,$110,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-data-services/ai-service-specialist-for-data-analysis-and-automation-4415491
"""Automated CRM Subdomain & User Provisioning via Web Form""",$68,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/automated-crm-subdomain-user-provisioning-via-web-form-4416548
Automation Specialist Needed for Zoho Integration,$1K,https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/automation-specialist-needed-for-zoho-integration-4413722
Linnworks Automation Macro,$41,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/linnworks-automation-macro-4409772
Automation Developer – WooComm to External B2B Portal (No API),$1.4K,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-integration/automation-developer-woocomm-to-external-b2b-portal-no-4415131
"Build Chatbots, WhatsApp Bots & Voice AI Agents",$88,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-chatbot-development/build-chatbots-whatsapp-bots-voice-ai-agents-4416913
Virtual Assistant (VA) – AI Automation Experience Necessary,$16/hr,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-integration/virtual-assistant-va-ai-automation-experience-necessar-4413519
Ai Lead generation tool,$29/hr,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-agent-development/ai-lead-generation-tool-4416369
Senior AI & Automation Architect – Real Estate CRM (Remote),$27/hr,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-website-development/senior-ai-automation-architect-real-estate-crm-remote-4414046
Automation of procedures / forms on Office 365 (Health & Safety),$13.6K,https://www.peopleperhour.com/freelance-jobs/technology-programming/mobile-app-development/automation-of-procedures-forms-on-office-365-health-saf-4413363
Automation for Sales Outreach & Engagement,$450,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-agent-development/automation-for-sales-outreach-engagement-4407957
AI Automation Template Vendor Central,$149,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-agent-development/ai-automation-template-vendor-central-4409370
Instagram Automationm,$500,https://www.peopleperhour.com/freelance-jobs/social-media/instagram-marketing/instagram-automationm-4416539
